Subject ,Condition ,Summary  General ,summarize The Fire Chief,Comprehensibility,Describe two stories seemed similar.,The two stories are similar,Radiation.WO.Hint,BeforeHint,Radiation.W.Hint,AfterHint,Gender,Gender.Other,Race,Age,Feedback,,,,,,,,,,,,,,,,,,,,,
173,1,"A small country was ruled from a strong fortress by a dictator. The fortress was situated in the middle of the country, surrounded by farms and villages. Many roads led to the fortress through the countryside. A rebel general vowed to capture the fortress. The general knew that an attack by his entire army would capture the fortress. He gathered his army at the head of one of the roads, ready to launch a full-scale direct attack. However, the general then learned that the dictator had planted mines on each of the roads. The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress. However, any large force would detonate the mines. Not only would this blow up the road, but it would also destroy many neighboring villages. It therefore seemed impossible to capture the fortress. However, the general devised a simple plan. He divided his army into small groups and dispatched each group to the head of a different road. When all was ready he gave the signal and each group marched down a different road. Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time. In this way, the general captured the fortress and overthrew the dictator.
","One night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.
 
The fire chief attributed his success to an important principle: If you need a large force to accomplish some purpose, but are prevented from applying such a force directly, many smaller forces applied simultaneously from different directions may work just as well.",Intermediate,good,Agree,bed,,Transferring Critical Thinking Skills across Content Areas: The Effects of Multiple Content Areas and Summary Generation on the Analogical Problem Solving of Regular and Honors Students,,Male,,South Asian or Indian American,25 - 34,good,,,,,,,,,,,,,,,,,,,,,
174,1,"An overview of content that provides a reader with the overarching theme, but does not expand on specific details. A summary describes a larger work (such as an entire book, speech, or research project), and should include noticeably less content then the original work. Summaries can save a reader time because it prevents the reader from having to actually go through and filter the important information from the unimportant. ""Ben was able to review the well-written summary provided by his peer, instead of re-reading the entire textbook, and as a result he still received an A on his mid-term.""
Read more: http://www.businessdictionary.com/definition/summary.html",non,Good,"It wasnâ€™t my friend, actually, it was Molly who was the culprit, but I donâ€™t mention that because then heâ€™d say something like â€œoh, you have a twin sisterâ€ù and Iâ€™d have to either lie or explain things. Moll was driving me mad that day, it wasnâ€™t just the record, she had talked all the way through the film too, I canâ€™t even remember about what. I gave her the silent treatment on the way home on the subway. It all seems so silly now. We fought a lot that summer, I was tired of her finishing my sentences and speaking for both of us, a throwback to when I had a stammer as a child. Old habits die hard, I suppose.
Luke is looking at me curiously, he might have just asked me a",Agree,onn,,non,,Male,,South Asian or Indian American,25 - 34,good,,,,,,,,,,,,,,,,,,,,,
175,2,"The general knew that an attack by his entire army would capture the fortress. He gathered his army at the head of one of the roads, ready to launch a full-scale direct attack. However, the general then learned that the dictator had planted mines on each of the roads. The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress. However, any large force would detonate the mines.","The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. ",Good,"The general knew that an attack by his entire army would capture the fortress. He gathered his army at the head of one of the roads, ready to launch a full-scale direct attack. However, the general then learned that the dictator had planted mines on each of the roads. The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress. However, any large force would detonate the mines.The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. ",Strongly Agree,NOTHING PROBLEM ITS ALL GOOD,,GOOD NO PROBLEM,,Male,,South Asian or Indian American,25 - 34,VERY INTERESTING STORY AND GOOD GREATFUL,,,,,,,,,,,,,,,,,,,,,
176,1,"There was a fortress ruled by a dictator. The fortress was surrounded by mines that tripped if a large group went over them. A general wanted to take the fortress, but knew his large army would set off the mines. He devised a plan to set out small groups of his army, each on one path, to meet at the fortress. His plan worked, no mines were set off, and his army took the fortress.","A man's shed caught fire and he alerted the people in the town. They all came out to help. Luckily, the shed was right next to a lake so water was plentiful. However, as each person threw a bucket of water over the fire, they realized that these small bucket fulls were no match for the flames. A fire chief suggested everyone get a bucket of water and hold onto it until everyone was ready. Then the group would throw all of the water on the fire at the same time. This worked and the fire was soon under control. The man's house was saved and the shed fire was put out.",Good,Each involved taking small groups and putting them together to form a cohesive and more formidable whole. The army was broken up into smaller groups which came together in the end to take the fortress. The people with buckets became a giant force when they all worked together to put the fire out with one big swoop of water.,Agree,"Use a lot of small rays all at once, each with a lower level of radiation. Target the tumor with these smaller rays.",,Use a series of smaller rays with less radiation and target the tumor with the group of rays (rather than one large powerful ray).,,Female,,Non-Hispanic White or Euro-American,25 - 34,,,,,,,,,,,,,,,,,,,,,,
177,2,"However, any large force would detonate the mines. Not only would this blow up the road, but it would also destroy many neighboring villages. It therefore seemed impossible to capture the fortress. However, the general devised a simple plan. He divided his army into small groups and dispatched each group to the head of a different road. When all was ready he gave the signal and each group marched down a different road
",The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed.,Intermediate,moderate,Moderately Agree,good story,,nice and interesting story,,Female,,South Asian or Indian American,25 - 34,thank you,,,,,,,,,,,,,,,,,,,,,
178,1,feeling of emotiom,very identify for the study,Poor,i feel good,Strongly Agree,very affect of the more radiation pronlemss,,both are also bery danger to the radiation probkem,,Male,,Non-Hispanic White or Euro-American,18 - 24,nice,,,,,,,,,,,,,,,,,,,,,
179,2,"A small country was ruled from a strong fortress by a dictator. The fortress was situated in the middle of the country, surrounded by farms and villages. Many roads led to the fortress through the countryside.the general devised a simple plan. He divided his army into small groups and dispatched each group to the head of a different road. When all was ready he gave the signal and each group marched down a different road. Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time. In this way, the general captured the fortress and overthrew the dictator.","One night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next.The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.
",Good,moderate,Moderately Agree,"The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.
",,"Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time. In this way, the general captured the fortress and overthrew the dictator.
",,Male,,South Asian or Indian American,25 - 34,good stories,,,,,,,,,,,,,,,,,,,,,
180,1,A dictator was in a fortress that he had placed mines all around.  The General's large army would set off the mines.  Smaller numbers of men wouldn't set them off.  The general sent small numbers from different areas to meet at the fortress and not set off the mines.,A wood shed was burning and people came to put it out with small buckets.  Each bucket was evaporated before it did anything the fire.  The fire chief had them encircle the fire and throw all the buckets at once. The fire was put out and the fire chief got a raise.,Good,By dividing a problem up and using smaller forces as a whole you can yield spectacular results.,Strongly Agree,Several lower intensity rays from different points all going to the tumor.,,Using lower intensity rays from different areas all pointing to the tumor.,,Male,,Non-Hispanic White or Euro-American,25 - 34,,,,,,,,,,,,,,,,,,,,,,
181,1,"There was a general wanting to capture a dictator's fortress, but he discovered the dictator had planted mines on the roads. The mines would be set off by a large force, but not by smaller amounts of people moving over them. So, the general divided his forces and had them approach from multiple different roads at the same time, preventing any one road from getting too much weight on it, and avoiding setting off the mines, to finally capture the fortress.","A wood shed caught fire near a house and the owner sounded the alarm. Many people came to help, with buckets, but the fire was so hot, the water evaporated, and they couldn't seem to put it out one bucket at a time. The fire chief arrived and got them all to fill their buckets, then wait in a circle around the shed, until they had all gathered, then gave the order to throw all the water on the fire at once, putting it out very quickly. The people voted to give the fire chief a raise in pay.",Good,"Both focused on the same principle, that if you cannot apply a large force all at once to solve a problem, it sometimes helps to apply the force in smaller amounts in different areas, all at once.",Agree,"Use multiple sources of rays at the same time, focused on the tumor, to avoid too high of a concentration on any one spot of healthy tissue, but still irradiate the tumor.",,"Apply the rays from multiple sources at a lower intensity, so they won't apply too much radiation to one area of healthy skin, but will all contact the tumor and destroy it with their combined power.",,Male,,Non-Hispanic White or Euro-American,25 - 34,"The last couple of questions about proposing a solution to the tumor problem were confusing. I wasn't sure what I was supposed to be doing, at first.",,,,,,,,,,,,,,,,,,,,,
182,1,"A general wanted to attack a position with a large force but could not move all his men from one singular direction, so he ordered them to come from all sides to converge onto that point, winning the victory with this tactic.","A fire chief was trying to put out a fire using many small buckets, but this was not working, so he had everyone throw their small bucket of water on the fire at the same time, and thus, this was enough to put it out.",Good,"Both the stories describe a general strategy for approaching a problem. If a large amount of force, etc., can not be provided in a singular move, or what have you, multiple, smaller efforts concentrated all at once can also be useful in getting things done.",Moderately Agree,"You'd want to focus the tumor from different directions. Then, each segment of healthy tissue would only be subjected to a smaller portion of radioactivity, reducing the amount of damaged tissue while ensuring that the tumor received as much chemotherapy as required.",,I think I already wrote this kind of solution. You'd want to focus the ray from as many directions as possible so that each segment of healthy tissue was not being exposed to harm while also ensuring that the tumor was weakened as much as possible.,,Male,,Non-Hispanic White or Euro-American,25 - 34,,,,,,,,,,,,,,,,,,,,,,
183,2,A general leads his men to war and encounters an obstacle that he later overcomes by assembling men in a appropriate route in order to avoid detonating landmines. He later overtakes the enemy and is victorious.,A house is set on fire and is unable to be distinguished until a fire chief creates a plan that is effective in putting out the blaze of fire.,Good,Both stories had victorious endings.,Moderately Agree,Using the rays in a way that does not harm the individual. the most precisive methods available.,,Adjust the ray until it's effective enough to kill the tumor but not harm the stomach.,,Male,,Non-Hispanic White or Euro-American,25 - 34,Give us enough freaking time damnit!!!!!!!!!!,,,,,,,,,,,,,,,,,,,,,
184,2,"One night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.","One night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.",Good,two stories were tell conclusion about good leader and unity of people ,Agree,"Analogies involve reasoning about relations, in particular about relational similarity, so that a correspondence is established between one set of relations and another.
In principle, reasoning may involve at least three types of correspondences:
â€¢ ""property correspondence"" - e.g., is a 3 inch disk more like a quarter or a pizza?
â€¢ ""concept correspondence"" - e.g., is a turkey a bird?
â€¢ ""system correspondence"" - e.g., is the internal structure of an atom like the solar system?
Analogical reasoning is primarily concerned with systemic correspondences, as in problem solving, where a solution to a known problem may be applied to solving a structurally similar problem.",,"Analogies involve reasoning about relations, in particular about relational similarity, so that a correspondence is established between one set of relations and another.
In principle, reasoning may involve at least three types of correspondences:
â€¢ ""property correspondence"" - e.g., is a 3 inch disk more like a quarter or a pizza?
â€¢ ""concept correspondence"" - e.g., is a turkey a bird?
â€¢ ""system correspondence"" - e.g., is the internal structure of an atom like the solar system?
Analogical reasoning is primarily concerned with systemic correspondences, as in problem solving, where a solution to a known problem may be applied to solving a structurally similar problem.",,Female,,South Asian or Indian American,18 - 24,good survey to provide some of helpful information,,,,,,,,,,,,,,,,,,,,,
185,1,"A small country was ruled from a strong fortress by a dictator. The fortress was situated in the middle of the country, surrounded by farms and villages. Many roads led to the fortress through the countryside. A rebel general vowed to capture the fortress. The general knew that an attack by his entire army would capture the fortress. He gathered his army at the head of one of the roads, ready to launch a full-scale direct attack. However, the general then learned that the dictator had planted mines on each of the roads. The mines were set so that small bodies of men could pass over them safely, since the dictator needed to move his troops and workers to and from the fortress. However, any large force would detonate the mines. Not only would this blow up the road, but it would also destroy many neighboring villages. It therefore seemed impossible to capture the fortress. However, the general devised a simple plan. He divided his army into small groups and dispatched each group to the head of a different road. When all was ready he gave the signal and each group marched down a different road. Each group continued down its road to the fortress so that the entire army arrived together at the fortress at the same time. In this way, the general captured the fortress and overthrew the dictator.
The general attributed his success to an important principle: If you need a large force to accomplish some purpose, but are prevented from applying such a force directly, many smaller forces applied
simultaneously from different directions may work just as well.
","One night a fire broke out in a wood shed full of timber on Mr. Johnsonâ€™s place. As soon as he saw flames he sounded the alarm, and within minutes dozens of neighbors were on the scene armed with buckets. The shed was already burning fiercely, and everyone was afraid that if it wasnâ€™t controlled quickly the house would go up next. Fortunately, the shed was right beside a lake, so there was plenty of water available. If a large volume of water could hit the fire at the same time, it would be extinguished. But with only small buckets to work with, it was hard to make any headway. The fire seemed to evaporate each bucket of water before it hit the wood. It looked like the house was doomed. Just then the fire chief arrived. He immediately took charge and organized everyone. He had everyone fill their bucket and then wait in a circle surrounding the burning shed. As soon as the last man was prepared, the chief gave a shout and everyone threw their bucket of water at the tire. The force of all the water together dampened the fire right down, and it was quickly brought under control, Mr. Johnson was relieved that his house was saved, and the village council voted the tire chief a raise in pay.
 
The fire chief attributed his success to an important principle: If you need a large force to accomplish some purpose, but are prevented from applying such a force directly, many smaller forces applied simultaneously from different directions may work just as well.",Good,not similar,Agree,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post.",,"Goswami & Brown reasoned that children might fail Piaget's tasks because they lack knowledge of the relations entailed. On this view, children ought to be able to solve classical analogy problems provided the analogies are based on familiar relations.
The task: children were presented with a horizontal array of 3 pictures (the a, b, and c) terms and were given 5 pictures from which to chose one to complete the sequence.",,Male,,South Asian or Indian American,25 - 34,very helpful this survey ,,,,,,,,,,,,,,,,,,,,,
186,2,"summary, like paraphrase, allows you to reproduce another writer's thoughtsâ€”but in
shortened form. In writing a summary, you focus on the most important statements of
the original statements of the original passage and eliminate the less important
material. Three techniquesâ€”selection and deletion, note taking, and miniaturizingâ€”can help you
shorten the material. As you become more adept at summarizing, you will devise your own
combination of these techniques for each occasion. But in all cases the summary must be written
in readable prose that reflects the essential meaning of the original text. Like paraphrase,
summary can be used for many purposes: to help you understand the main points and structure
of the author's argument, to convey understanding to others, to present background information
quickly, or to refer to another writer's ideas in the course of making your own original statement","Retired Fire Chief pens reflections on his life as a volunteer firefighter. â€œFire Chiefâ€ù by Ed Daniels shares experiences and sacrifices until now known only to the volunteers themselves. In his first novel, â€œFire Chief; The Story of a Volunteer Firefighter,â€ù author Ed Daniels recalls his life as a volunteer firefighter in the mountains of Colorado. Based on actual events, the book takes readers into the heat which countless volunteer firefighters face every day throughout the world. Most people donâ€™t realize that the majority of the firefighters, EMTs and Paramedics who respond to fires and accidents in rural areas are volunteers. These First Responders sacrifice time with their families and their careers, responding at a momentâ€™s notice to protect the lives and property of those who need them. While he fictionalizes his characters and locations, â€œFire Chiefâ€ù describes Danielsâ€™ actual experiences and encounters in frightening detail. He relates stories of house fires, wildfires, car accidents and back country rescues as they really happened. We gain insight into what was going through his mind, his emotions and his reactions as he responded to horrific incidents sometimes involving family and friends. Woven throughout his emergency encounters, Daniels describes what it is like for a volunteer fire chief trying to balance the load of raising a family, handling a career, and leading a team of sometimes unruly volunteers. Readers go along for the journey as he grows into an expert leader who eventually retires, and reflects on his lifetime of bravery and public service. Daniels said. â€œI want others to be inspired to volunteer and to see for themselves what life is like as a First Responder. People should have a better understanding of what their neighbors and friends are experiencing as volunteer firefighters, EMTs and Paramedics.â€ù",Good,"We used to sing it together at a karaoke bar called Same Same But Different during our J1 summer in New York, her on lead vocals, me on backing. Weâ€™d mock fight over which of us could have Luke Goss, the one we had decided was the better looking of the identical twins in Bros. But I knew if the unlikely situation did arise, Molly would get Luke and Iâ€™d have to settle for his slightly less handsome brother Matt. She loved that song, she was the one who wanted to be famous. In the end, she had her picture splashed across the newspapers for the worst possible reason. â€œTragic twinâ€ù they called her.
",Agree,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post.
Bear with me; we need to set things up first.
In a 1945 paper, Duncker offered the following scenario.
Suppose you are a doctor faced with a patient who has a malignant tumor in his stomach. It is impossible to operate on the patient, but unless the tumor is destroyed, the patient will die. There is a kind of ray that can be used to destroy the tumor. If the rays reach the tumor all at once at a sufficiently high intensity, ",,"I recently came across some old-ish work in analogical reasoning that tickled my brain about priming during experiments. What concerns me is the quality of conclusions reached by the research and how we might improve our experimental methods in studying analogical reasoning, especially as it pertains to design. References are at the end of this post.
Bear with me; we need to set things up first.
In a 1945 paper, Duncker offered the following scenario.
Suppose you are a doctor faced with a patient who has a malignant tumor in his stomach. It is impossible to operate on the patient, but unless the tumor is destroyed, the patient will die. There is a kind of ray that can be used to destroy the tumor. If the rays reach the tumor all at once at a sufficiently high intensity, ",,Male,,South Asian or Indian American,25 - 34,good. i was very  interest to the survay,,,,,,,,,,,,,,,,,,,,,
187,2,There was a fortress in the center of a country which was ruled by a dictator. A rebellious general decided that he wanted to take over the fortress. He gathered an army together to try to attack and capture it. The general then found out that the fortress was surrounded by mines on every road connected to it. The mines would detonate if any large amount of force passed over them so the general decided to send his men in small groups on every road. The fortress was successfully captured and the dictator was overthrown.,"There was a shed on fire that was full of wood at a man's home. Many neighbors came rushing over to help put the fire out so that the man's home wouldn't catch on fire. The fire was so intense that every small bucket full was not enough. There was a lake nearby which had plenty of water. The fire chief shortly arrived and had everyone grab a small bucket of water and throw it on the fire at the same time. This strategy worked and the fire was put out, saving the man's home. The fire chief was given a raise.",Good,The stories were similar because there were two strategies used that solved a problem. The first one required small groups of people going over the mines at the same time while the second required everyone throw a small bucket of water on a fire.,Agree,The type of procedure that could be used to destroy the tumor with rays and also avoid destroying healthy tissue would be to use the rays separately on certain parts of the tumor at different times.,,The best procedure would be to use the high intensity rays on different parts of the tumor instead of all at once.,,Female,,Non-Hispanic White or Euro-American,25 - 34,The only issue I had was that there wasn't enough time to complete this survey before the timer expired on the HIT page.,,,,,,,,,,,,,,,,,,,,,
188,2,A general realized that to attack he must divide his army so that a small portion traveled over each road to avoid tripping the mines present.  The Army then combined at the place of attack after arriving at the same time.,A fire could not be fought by the people with buckets because each bucket was evaporated by the fire before it could reach it.  The fire chief arrived and realized that if everyone filled their buckets and then threw them on the fire at the same time the fire would be overcome.,Good,They each talked about how divided forces could be used and then reunited at the end to successfully over obstacles.,Strongly Agree,I would combine many smaller rays of lesser power that would harmlessly pass through normal tissue before converging at the tumor to destroy it.,,Use many rays of lesser power that pass harmlessly through normal tissue before converging at the tumor and combining to destroy it.,,Male,,Non-Hispanic White or Euro-American,55 - 64,no issues,,,,,,,,,,,,,,,,,,,,,
189,1,"A small country was ruled from a strong fortress by a dictator. The fortress was situated in the middle of the country, surrounded by farms and villages. Many roads led to the fortress through the countryside. A rebel general vowed to capture the fortress. The general knew that an attack by his entire army would capture the fortress. "," Sofa Super Store Fire presentation wasnâ€™t delivered by an outsider it was presented by one of the CFDâ€™s own, a firefighter who has experienced the events first-hand.",Good,the general devised a simple plan,Moderately Agree," a doctor faced with a patient who has a malignant tumor in his stomach. It is impossible to operate on the patient, but unless the tumor is destroyed the patient will die.",,"a kind of ray that can be used to destroy the tumor. If the rays reach the tumor all at once at a sufficiently high intensity, the tumor will be destroyed.",,Male,,South Asian or Indian American,35 - 44,good,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
